decil,MAT,SERV
72.0,541.0,Telesecundaria
73.0,545.0,Telesecundaria
74.0,548.0,Telesecundaria
75.0,552.0,Telesecundaria
76.0,556.0,Telesecundaria
77.0,561.0,Telesecundaria
78.0,565.0,Telesecundaria
79.0,569.0,Telesecundaria
80.0,574.0,Telesecundaria
81.0,579.0,Telesecundaria
82.0,584.0,Telesecundaria
83.0,589.0,Telesecundaria
84.0,595.0,Telesecundaria
85.0,600.0,Telesecundaria
86.0,606.0,Telesecundaria
87.0,612.0,Telesecundaria
88.0,620.0,Telesecundaria
89.0,628.0,Telesecundaria
90.0,636.0,Telesecundaria
91.0,644.0,Telesecundaria
92.0,653.0,Telesecundaria
93.0,663.0,Telesecundaria
94.0,676.0,Telesecundaria
95.0,689.0,Telesecundaria
96.0,704.0,Telesecundaria
97.0,723.0,Telesecundaria
98.0,748.0,Telesecundaria
99.0,785.9300000000003,Telesecundaria
0.0,200.0,Comunitaria
1.0,200.0,Comunitaria
2.0,237.95999999999998,Comunitaria
3.0,250.94,Comunitaria
4.0,268.84000000000003,Comunitaria
5.0,278.9,Comunitaria
6.0,287.0,Comunitaria
7.0,294.86,Comunitaria
8.0,302.0,Comunitaria
9.0,304.0,Comunitaria
10.0,307.0,Comunitaria
11.0,312.0,Comunitaria
12.0,315.0,Comunitaria
13.0,321.0,Comunitaria
14.0,324.0,Comunitaria
15.0,327.7,Comunitaria
16.0,330.68,Comunitaria
17.0,334.0,Comunitaria
18.0,341.0,Comunitaria
19.0,344.0,Comunitaria
20.0,346.6,Comunitaria
21.0,350.0,Comunitaria
22.0,353.0,Comunitaria
23.0,354.0,Comunitaria
24.0,356.0,Comunitaria
25.0,358.5,Comunitaria
26.0,362.0,Comunitaria
27.0,364.46000000000004,Comunitaria
28.0,366.44000000000005,Comunitaria
29.0,368.0,Comunitaria
30.0,370.0,Comunitaria
31.0,372.0,Comunitaria
32.0,375.0,Comunitaria
33.0,377.0,Comunitaria
34.0,379.0,Comunitaria
35.0,381.0,Comunitaria
36.0,383.0,Comunitaria
37.0,384.0,Comunitaria
38.0,387.24,Comunitaria
39.0,390.0,Comunitaria
40.0,392.0,Comunitaria
41.0,394.0,Comunitaria
42.0,396.0,Comunitaria
43.0,398.0,Comunitaria
44.0,400.0,Comunitaria
45.0,402.0,Comunitaria
46.0,404.0,Comunitaria
47.0,407.0,Comunitaria
48.0,409.0,Comunitaria
49.0,411.0,Comunitaria
50.0,414.0,Comunitaria
51.0,415.0,Comunitaria
52.0,416.0,Comunitaria
53.0,419.0,Comunitaria
54.0,421.0,Comunitaria
55.0,422.0,Comunitaria
56.0,425.0,Comunitaria
57.0,427.0,Comunitaria
58.0,430.0,Comunitaria
